Article Name,Article number (MGB),Var,Subsys,Locations,MMS Stock,MMS Stock (1 piece),WMS Stock,WMS Stock (1 piece),Pick qty,Pick qty (1 piece),Difference,Difference (1 piece)
MPRO 100SAC (L) CONS+CUI 30X40,834261,1,240733,MEAT_SPECIAL_HANDLING-12-24-A2-2,40,40,804,804,0,0,-764,-764
EMMENTAL RAPE 1KG VALMARTIN,847756,1,254748,"MEAT_SPECIAL_HANDLING-23-19-A1-3,MEAT_SPECIAL_HANDLING-22-5-A1-2,MEAT_SPECIAL_HANDLING-22-16-B1-4,MEAT_SPECIAL_HANDLING-22-5-B1-1",456,456,1086,1086,0,0,-630,-630
50 BOITE PATES 480ML KRAFT,859908,1,267650,"MEAT_SPECIAL_HANDLING-12-13-A3-1,MEAT_SPECIAL_HANDLING-12-12-A2-1",16,16,605,605,0,0,-589,-589
BEURRE DX PLQ 500G METRO CHEF,886562,1,298197,MEAT_SPECIAL_HANDLING-23-10-A1-1,0,0,28,560,0,0,-28,-560
LIMONADE STEFF 1.5L,396764,1,202909,"MEAT_SPECIAL_HANDLING-4-2-C1-3,MEAT_SPECIAL_HANDLING-3-10-A1-2,MEAT_SPECIAL_HANDLING-3-25-C1-1,MEAT_SPECIAL_HANDLING-1-27-C1-2,MEAT_SPECIAL_HANDLING-3-3-B1-1",259,1554,343,2058,0,0,-84,-504
BOUCHEES CAMEMBERT 1KG LBWSTON,897181,1,309573,"DEEP_FROZEN-40-13-B1-1,DEEP_FROZEN-43-3-B1-2,DEEP_FROZEN-43-3-A2-6,DEEP_FROZEN-43-11-A2-3",5,5,491,491,0,0,-486,-486
OGEU INTENSE 33CL CAN,881962,1,292187,MEAT_SPECIAL_HANDLING-2-29-C1-3,28,672,42,1008,0,0,-14,-336
PERRIER 1L PET,396780,1,203205,"MEAT_SPECIAL_HANDLING-4-21-A1-2,MEAT_SPECIAL_HANDLING-4-8-B1-1",181,1086,233,1398,0,0,-52,-312
LAMBRUS RS37.5AMAB MD AOP,808252,1,213615,MEAT_SPECIAL_HANDLING-9-9-A2-4,2,24,24,288,0,0,-22,-264
NUTELLA 25G,842130,1,249511,MEAT_SPECIAL_HANDLING-9-18-A2-4,5,320,9,576,0,0,-4,-256
KINDER COUNTRY,810453,1,216623,MEAT_SPECIAL_HANDLING-9-2-A4-5,7,280,12,480,0,0,-5,-200
MPRO 50 BTE POIG BLANC 17X10CM,878775,1,288991,MEAT_SPECIAL_HANDLING-12-12-A1-2,13,13,209,209,0,0,-196,-196
ARO 400 SERV 29X29 1P BLANC,892283,1,304099,"MEAT_SPECIAL_HANDLING-6-23-B1-2,MEAT_SPECIAL_HANDLING-6-25-A1-3,MEAT_SPECIAL_HANDLING-7-2-B1-3,MEAT_SPECIAL_HANDLING-8-6-B1-2",804,804,972,972,0,0,-168,-168
BEURRE DX PLQ 500G METRO CHEF,886562,1,297475,"MEAT_SPECIAL_HANDLING-23-10-A1-1,MEAT_SPECIAL_HANDLING-23-20-A1-1,MEAT_SPECIAL_HANDLING-26-19-B1-1,MEAT_SPECIAL_HANDLING-20-5-B1-1",2871,2871,3030,3030,0,0,-159,-159
POIVRONS LANIERE 3/1 DEL PIQ,240669,1,43671,"MEAT_SPECIAL_HANDLING-8-8-C1-2,MEAT_SPECIAL_HANDLING-8-30-C1-2,MEAT_SPECIAL_HANDLING-7-18-A1-1",128,128,278,278,0,0,-150,-150
VOLVIC 6X50CL 100% RPET,862826,1,271914,"MEAT_SPECIAL_HANDLING-1-27-C1-1,MEAT_SPECIAL_HANDLING-1-27-B1-2,MEAT_SPECIAL_HANDLING-3-18-A1-2,MEAT_SPECIAL_HANDLING-3-27-A1-3,MEAT_SPECIAL_HANDLING-3-14-A1-1,MEAT_SPECIAL_HANDLING-2-26-A1-3,MEAT_SPECIAL_HANDLING-3-2-B1-1,MEAT_SPECIAL_HANDLING-3-12-C1-2,MEAT_SPECIAL_HANDLING-3-11-A1-1,MEAT_SPECIAL_HANDLING-1-25-B1-2",723,2892,760,3040,0,0,-37,-148
SNICKERS 75G 2P,839295,1,246746,"MEAT_SPECIAL_HANDLING-8-4-A2-2,MEAT_SPECIAL_HANDLING-11-15-A3-5",10,240,16,384,0,0,-6,-144
ROCHAMBEAU NECTAR MULTI BRIK1L,396934,1,201647,"MEAT_SPECIAL_HANDLING-2-13-A1-2,MEAT_SPECIAL_HANDLING-2-23-B1-2,MEAT_SPECIAL_HANDLING-3-8-A1-1",51,306,74,444,0,0,-23,-138
LESIEUR MAYO HAUTE FERMETE 5L,834802,1,241820,"INSPECTION-3,MEAT_SPECIAL_HANDLING-7-14-B1-3,MEAT_SPECIAL_HANDLING-8-8-C1-3,MEAT_SPECIAL_HANDLING-8-32-C1-3,MEAT_SPECIAL_HANDLING-7-14-A1-3",135,135,244,244,0,0,-109,-109
BREIZH COLA ZERO 33CL VP,830841,1,237157,MEAT_SPECIAL_HANDLING-5-25-A4-5,0,0,6,108,0,0,-6,-108
"*CACAHUETE SALE 1,5KG MC",840838,1,247859,"MEAT_SPECIAL_HANDLING-6-22-B1-3,MEAT_SPECIAL_HANDLING-6-26-B1-2,MEAT_SPECIAL_HANDLING-6-36-B1-2,MEAT_SPECIAL_HANDLING-6-36-A1-1",577,577,685,685,0,0,-108,-108
02 CONSIGNE PALETTE EUROPE,893404,1,null,null,-103,-103,0,0,0,0,-103,-103
PACK CASSONADE ST LOUIS 650G,861368,1,269429,"MEAT_SPECIAL_HANDLING-11-8-B1-2,MEAT_SPECIAL_HANDLING-11-19-A4-2",23,23,121,121,0,0,-98,-98
COCA COLA PET 50CL,396924,1,203334,"INSPECTION-3,MEAT_SPECIAL_HANDLING-3-25-B1-2,MEAT_SPECIAL_HANDLING-3-18-B1-2,MEAT_SPECIAL_HANDLING-4-20-A1-3",149,3576,153,3672,0,0,-4,-96
AEROSOL SUCREE 250ML WHIPPY,829930,1,236387,MEAT_SPECIAL_HANDLING-21-12-A1-4,0,0,8,96,0,0,-8,-96
GRANINI LITCHI 25CL,397319,1,202342,"MEAT_SPECIAL_HANDLING-5-31-A2-2,MEAT_SPECIAL_HANDLING-3-6-A1-1",8,96,16,192,0,0,-8,-96
COCACOLA BOITE SLIM 33CL,396651,1,202949,"MEAT_SPECIAL_HANDLING-2-22-A1-1,MEAT_SPECIAL_HANDLING-2-36-C1-2,MEAT_SPECIAL_HANDLING-1-11-C1-2,MEAT_SPECIAL_HANDLING-2-33-A1-3,MEAT_SPECIAL_HANDLING-1-9-B1-2,MEAT_SPECIAL_HANDLING-2-30-A1-1",613,14712,617,14808,0,0,-4,-96
VOLVIC JUICY EXO 50CL,396345,1,264978,"MEAT_SPECIAL_HANDLING-4-22-A1-2,MEAT_SPECIAL_HANDLING-3-10-B1-1",28,336,36,432,0,0,-8,-96
DADA MANGUE BTE 33CL,883084,1,293765,"MEAT_SPECIAL_HANDLING-4-9-A1-2,MEAT_SPECIAL_HANDLING-4-9-A4-3",1,24,5,120,0,0,-4,-96
CABECOU PERIGORD 35GX15,829701,1,236216,MEAT_SPECIAL_HANDLING-21-19-A1-4,23,345,29,435,0,0,-6,-90
LAY'S NATURE 145G,397343,1,202357,MEAT_SPECIAL_HANDLING-7-10-A1-2,1,20,5,100,0,0,-4,-80
CIRIO TOMATE CONCASSEE BTE 3/1,663993,1,61914,"MEAT_SPECIAL_HANDLING-7-19-A1-1,MEAT_SPECIAL_HANDLING-11-25-A4-2",-40,-40,40,40,0,0,-80,-80
CRISTAL SAC 20KG ARO,825154,1,231733,"MEAT_SPECIAL_HANDLING-7-1-C1-2,MEAT_SPECIAL_HANDLING-8-6-C1-3,MEAT_SPECIAL_HANDLING-6-18-B1-3,MEAT_SPECIAL_HANDLING-8-6-B1-3,MEAT_SPECIAL_HANDLING-6-18-C1-3,MEAT_SPECIAL_HANDLING-6-9-C1-3,MEAT_SPECIAL_HANDLING-6-18-C1-2,MEAT_SPECIAL_HANDLING-7-1-B1-2,MEAT_SPECIAL_HANDLING-6-18-C1-1,MEAT_SPECIAL_HANDLING-6-15-C1-1,MEAT_SPECIAL_HANDLING-6-28-A1-3",195,195,269,269,0,0,-74,-74
COCA SANS SUCRES 33CL,396657,1,202953,"MEAT_SPECIAL_HANDLING-5-21-C1-3,MEAT_SPECIAL_HANDLING-2-19-A1-1,MEAT_SPECIAL_HANDLING-2-34-A1-2,MEAT_SPECIAL_HANDLING-2-29-B1-2",406,9744,409,9816,0,0,-3,-72
PERRIER BOITE SLIM 33CL,396417,1,202736,"MEAT_SPECIAL_HANDLING-2-1-A1-2,MEAT_SPECIAL_HANDLING-3-9-C1-1,MEAT_SPECIAL_HANDLING-2-20-A1-1",83,1992,86,2064,0,0,-3,-72
300 ETIQ DLC 70X45MM,181379,1,184499,"MEAT_SPECIAL_HANDLING-12-36-A1-1,MEAT_SPECIAL_HANDLING-12-36-B1-1",185,185,248,248,0,0,-63,-63
FROM.FRAIS CHEVRE 200G ROCHAMB,671439,1,13592,MEAT_SPECIAL_HANDLING-20-13-A1-4,345,345,404,404,0,0,-59,-59
