Article Name,Article number (MGB),Var,Subsys,Locations,MMS Stock,MMS Stock (1 piece),WMS Stock,WMS Stock (1 piece),Pick qty,Pick qty (1 piece),Difference,Difference (1 piece)
BEURRE DX PLQ 500G METRO CHEF,886562,1,298197,"MEAT_SPECIAL_HANDLING-23-10-A1-1,MEAT_SPECIAL_HANDLING-21-2-A1-1",0,0,52,1040,0,0,-52,-1040
EMMENTAL RAPE 1KG VALMARTIN,847756,1,254748,"MEAT_SPECIAL_HANDLING-22-5-B1-1,MEAT_SPECIAL_HANDLING-23-19-A1-3,MEAT_SPECIAL_HANDLING-22-5-A1-2,MEAT_SPECIAL_HANDLING-22-16-B1-4",394,394,1024,1024,0,0,-630,-630
50 BOITE PATES 480ML KRAFT,859908,1,267650,"MEAT_SPECIAL_HANDLING-12-12-A2-1,MEAT_SPECIAL_HANDLING-12-13-A3-1",15,15,604,604,0,0,-589,-589
VOLVIC 6X50CL 100% RPET,862826,1,271914,"MEAT_SPECIAL_HANDLING-3-15-A1-1,MEAT_SPECIAL_HANDLING-3-12-C1-2,MEAT_SPECIAL_HANDLING-1-27-C1-1,MEAT_SPECIAL_HANDLING-1-27-B1-2,MEAT_SPECIAL_HANDLING-1-25-B1-2,MEAT_SPECIAL_HANDLING-3-14-A1-1,MEAT_SPECIAL_HANDLING-3-11-A1-1",335,1340,472,1888,0,0,-137,-548
BOUCHEES CAMEMBERT 1KG LBWSTON,897181,1,309573,"DEEP_FROZEN-43-3-A2-6,DEEP_FROZEN-40-13-B1-1,DEEP_FROZEN-43-3-B1-2,DEEP_FROZEN-43-11-A2-3",5,5,491,491,0,0,-486,-486
PERRIER 1L PET,396780,1,203205,"MEAT_SPECIAL_HANDLING-4-21-A1-2,MEAT_SPECIAL_HANDLING-4-8-B1-1",170,1020,222,1332,0,0,-52,-312
BEURRE DX PLQ 500G METRO CHEF,886562,1,297475,"MEAT_SPECIAL_HANDLING-20-5-B1-1,MEAT_SPECIAL_HANDLING-23-10-A1-1,MEAT_SPECIAL_HANDLING-23-20-A1-1",2596,2596,2875,2875,0,0,-279,-279
NUTELLA 25G,842130,1,249511,MEAT_SPECIAL_HANDLING-9-18-A2-4,5,320,9,576,0,0,-4,-256
ARO 400 SERV 29X29 1P BLANC,892283,1,304099,"MEAT_SPECIAL_HANDLING-7-2-B1-3,MEAT_SPECIAL_HANDLING-8-6-B1-2,MEAT_SPECIAL_HANDLING-6-25-A1-3,MEAT_SPECIAL_HANDLING-6-23-B1-2",774,774,942,942,0,0,-168,-168
POIVRONS LANIERE 3/1 DEL PIQ,240669,1,43671,"MEAT_SPECIAL_HANDLING-7-18-A1-1,MEAT_SPECIAL_HANDLING-8-8-C1-2,MEAT_SPECIAL_HANDLING-8-30-C1-2",128,128,278,278,0,0,-150,-150
ROCHAMBEAU NECTAR MULTI BRIK1L,396934,1,201647,"MEAT_SPECIAL_HANDLING-2-13-A1-2,MEAT_SPECIAL_HANDLING-2-23-B1-2,MEAT_SPECIAL_HANDLING-3-8-A1-1",44,264,67,402,0,0,-23,-138
02 CONSIGNE PALETTE EUROPE,893404,1,null,null,-113,-113,0,0,0,0,-113,-113
LESIEUR MAYO HAUTE FERMETE 5L,834802,1,241820,"MEAT_SPECIAL_HANDLING-7-14-C1-1,INSPECTION-3,MEAT_SPECIAL_HANDLING-8-32-C1-3,MEAT_SPECIAL_HANDLING-7-14-A1-3,MEAT_SPECIAL_HANDLING-8-8-C1-3",90,90,199,199,0,0,-109,-109
"*CACAHUETE SALE 1,5KG MC",840838,1,247859,"MEAT_SPECIAL_HANDLING-6-22-B1-3,MEAT_SPECIAL_HANDLING-6-36-B1-2,MEAT_SPECIAL_HANDLING-6-26-B1-2",495,495,603,603,0,0,-108,-108
BREIZH COLA ZERO 33CL VP,830841,1,237157,MEAT_SPECIAL_HANDLING-5-25-A4-5,0,0,6,108,0,0,-6,-108
PACK CASSONADE ST LOUIS 650G,861368,1,269429,"MEAT_SPECIAL_HANDLING-11-8-B1-2,MEAT_SPECIAL_HANDLING-11-19-A4-2",15,15,113,113,0,0,-98,-98
GRANINI LITCHI 25CL,397319,1,202342,"MEAT_SPECIAL_HANDLING-5-31-A2-2,MEAT_SPECIAL_HANDLING-3-6-A1-1",11,132,19,228,0,0,-8,-96
CABECOU PERIGORD 35GX15,829701,1,236216,MEAT_SPECIAL_HANDLING-21-19-A1-4,22,330,28,420,0,0,-6,-90
WINGS PLT CRUNCHY HAL 1KG,844174,1,251586,DEEP_FROZEN-41-10-A1-4,-28,-28,52,52,0,0,-80,-80
LAY'S NATURE 145G,397343,1,202357,MEAT_SPECIAL_HANDLING-7-10-A1-2,1,20,5,100,0,0,-4,-80
CRISTAL SAC 20KG ARO,825154,1,231733,"MEAT_SPECIAL_HANDLING-6-28-A1-3,MEAT_SPECIAL_HANDLING-6-15-C1-1,MEAT_SPECIAL_HANDLING-6-9-C1-3,MEAT_SPECIAL_HANDLING-8-6-B1-3,MEAT_SPECIAL_HANDLING-7-1-B1-2,MEAT_SPECIAL_HANDLING-6-18-B1-3,MEAT_SPECIAL_HANDLING-6-18-C1-1,MEAT_SPECIAL_HANDLING-6-18-C1-2,MEAT_SPECIAL_HANDLING-6-18-C1-3,MEAT_SPECIAL_HANDLING-8-6-C1-3,MEAT_SPECIAL_HANDLING-7-1-C1-2",194,194,268,268,0,0,-74,-74
AEROSOL SUCREE 250ML WHIPPY,829930,1,236387,MEAT_SPECIAL_HANDLING-21-12-A1-4,0,0,6,72,0,0,-6,-72
300 ETIQ DLC 70X45MM,181379,1,184499,"MEAT_SPECIAL_HANDLING-12-36-A1-1,MEAT_SPECIAL_HANDLING-12-36-B1-1",181,181,244,244,0,0,-63,-63
FROM.FRAIS CHEVRE 200G ROCHAMB,671439,1,13592,MEAT_SPECIAL_HANDLING-20-13-A1-4,325,325,384,384,0,0,-59,-59
SAUMON 7/8 X20 EL/NO.SALMO SALAR,15360,1,15360,"FISH-55-5-A1-1,FISH-54-3-A1-2",0.22,0.22,36.25,36.25,22.5,22.5,-58.53,-58.53
MC RIZ LG GRAIN ETUVE 5KG,891870,1,303587,"MEAT_SPECIAL_HANDLING-9-2-C1-3,MEAT_SPECIAL_HANDLING-6-33-C1-1,MEAT_SPECIAL_HANDLING-9-14-C1-1,MEAT_SPECIAL_HANDLING-9-6-A4-3",45,45,100,100,0,0,-55,-55
"ST NECT LAIT AOP 1,5KGENV CLOU",829245,1,236466,"MEAT_SPECIAL_HANDLING-22-21-A1-2,IN-1",102.26,102.26,157.09,157.09,0,0,-54.83,-54.83
PIMENT XTRA PAYBASQ SUD 1.8KG,233647,1,36649,"MEAT_SPECIAL_HANDLING-8-30-B1-2,MEAT_SPECIAL_HANDLING-8-32-B1-2,MEAT_SPECIAL_HANDLING-7-31-A1-5,MEAT_SPECIAL_HANDLING-7-30-B1-1",278,278,332,332,0,0,-54,-54
CH FEUILLATE TRADITION BRT 75C,875882,1,285531,"MEAT_SPECIAL_HANDLING-8-35-C1-1,MEAT_SPECIAL_HANDLING-8-35-A3-5",0,0,9,54,0,0,-9,-54
*TAHINA CREME SESAME POT 454G,162008,1,163202,"MEAT_SPECIAL_HANDLING-8-4-B1-1,MEAT_SPECIAL_HANDLING-8-2-A3-4",20,20,73,73,0,0,-53,-53
FRAIS MINIMUM DE COMMANDE,835296,1,null,null,-50,-50,0,0,0,0,-50,-50
MC CERNEAUX NOIX INV ARL 1KG,889202,1,300454,"MEAT_SPECIAL_HANDLING-7-31-A2-4,MEAT_SPECIAL_HANDLING-8-30-B1-3",74,74,124,124,0,0,-50,-50
*MC FARINE SARASIN 1KG,835154,1,242175,MEAT_SPECIAL_HANDLING-10-21-A1-1,2,20,7,70,0,0,-5,-50
COCACOLA CHERRY SLIM 33CL,396660,1,202955,"MEAT_SPECIAL_HANDLING-1-18-B1-3,MEAT_SPECIAL_HANDLING-2-28-A1-3,MEAT_SPECIAL_HANDLING-1-17-B1-2,MEAT_SPECIAL_HANDLING-1-20-A1-3,MEAT_SPECIAL_HANDLING-1-31-B1-2,MEAT_SPECIAL_HANDLING-1-20-B1-1,MEAT_SPECIAL_HANDLING-1-13-B1-2",658,15792,660,15840,0,0,-2,-48
OASIS POM/CASS/FRAM SLIM 33CL,861096,1,268769,"MEAT_SPECIAL_HANDLING-2-17-A1-3,IN-1,MEAT_SPECIAL_HANDLING-3-9-C1-3",259,6216,261,6264,0,0,-2,-48
MINUTE MAID ORANGE SLIM 33CL,872493,1,281761,"MEAT_SPECIAL_HANDLING-3-3-A1-1,MEAT_SPECIAL_HANDLING-4-13-B1-3",65,1560,67,1608,0,0,-2,-48
MONSTER ENERGY BOITE 50CL,399068,1,204694,"MEAT_SPECIAL_HANDLING-2-1-B1-1,MEAT_SPECIAL_HANDLING-3-4-A1-3",31,744,33,792,0,0,-2,-48
MPRO 500 PAILLE KRAFT D6 20CM,888219,1,299096,"MEAT_SPECIAL_HANDLING-7-23-A1-1,MEAT_SPECIAL_HANDLING-6-11-C1-3,MEAT_SPECIAL_HANDLING-6-26-B1-3,MEAT_SPECIAL_HANDLING-6-9-A2-2",144,144,190,190,0,0,-46,-46
ENTRECOTE 4KG+ UE,688758,1,29149,"MEAT_SPECIAL_HANDLING-26-9-A4-6,MEAT_SPECIAL_HANDLING-25-5-A1-6",49.28,49.28,90.69,90.69,0,0,-41.41,-41.41
POMMES SAUTEES 2.5KG MC,605985,1,73511,DEEP_FROZEN-42-8-A2-7,-31,-31,9,9,0,0,-40,-40
