Article Name;Article number (MGB);Var;Locations;MMS Stock;MMS Stock (1 piece);WMS Stock;WMS Stock (1 piece);Pick qty;Pick qty (1 piece);Difference;Difference (1 piece)
COCA SANS SUCRES 33CL;396657;1;MEAT_SPECIAL_HANDLING-3-8-B1-2,MEAT_SPECIAL_HANDLING-2-7-B1-1,MEAT_SPECIAL_HANDLING-2-25-B1-1,MEAT_SPECIAL_HANDLING-2-9-B1-1,MEAT_SPECIAL_HANDLING-2-19-A1-1,MEAT_SPECIAL_HANDLING-3-9-B1-1;515;12360;775;18600;0;0;-260;-6240
LAIT ENT UHT BT1L MC ENGAGE;864443;1;MEAT_SPECIAL_HANDLING-20-11-B1-3,MEAT_SPECIAL_HANDLING-20-8-B1-2,MEAT_SPECIAL_HANDLING-20-16-A1-2;182;1092;302;1812;0;0;-120;-720
VOLVIC 6X50CL 100% RPET;862826;1;MEAT_SPECIAL_HANDLING-4-19-C1-2,MEAT_SPECIAL_HANDLING-4-19-C1-1,MEAT_SPECIAL_HANDLING-3-12-C1-2,MEAT_SPECIAL_HANDLING-12-27-C1-1,MEAT_SPECIAL_HANDLING-3-29-B1-2,MEAT_SPECIAL_HANDLING-4-26-B1-2,MEAT_SPECIAL_HANDLING-4-27-C1-2,MEAT_SPECIAL_HANDLING-3-16-C1-3,MEAT_SPECIAL_HANDLING-3-14-A1-1,MEAT_SPECIAL_HANDLING-3-21-C1-3,MEAT_SPECIAL_HANDLING-1-1-C1-2,MEAT_SPECIAL_HANDLING-4-18-B1-1,MEAT_SPECIAL_HANDLING-3-33-A1-1;748;2992;884;3536;0;0;-136;-544
BOUCHEES CAMEMBERT 1KG LBWSTON;897181;1;DEEP_FROZEN-43-3-B1-2,DEEP_FROZEN-43-3-A2-6,DEEP_FROZEN-40-13-B1-1,DEEP_FROZEN-43-11-A2-3;41;41;509;509;0;0;-468;-468
FUZETEA PECHE 25CL VC;881900;1;MEAT_SPECIAL_HANDLING-1-29-A1-1,MEAT_SPECIAL_HANDLING-1-9-B1-2;70;1680;84;2016;0;0;-14;-336
CHEDDAR FONDU 84 TR 1.033KG MC;829925;1;MEAT_SPECIAL_HANDLING-24-19-A1-4,MEAT_SPECIAL_HANDLING-23-8-B1-1;848;848;1106;1106;0;0;-258;-258
FUZETEA MENTH/CITRON VERT 33CL;857386;1;MEAT_SPECIAL_HANDLING-3-7-B1-3,MEAT_SPECIAL_HANDLING-1-10-A1-1;95;2280;105;2520;0;0;-10;-240
02 CONSIGNE PALETTE EUROPE;893404;1;null;-151;-151;0;0;0;0;-151;-151
CARCASSE POULET VRAC FR;819799;1;UNLOADING-1,MEAT_SPECIAL_HANDLING-20-13-A1-1;0;0;136.3;136.3;0;0;-136.3;-136.3
PERRIER BOITE SLIM 33CL;396417;1;MEAT_SPECIAL_HANDLING-2-20-B1-1,MEAT_SPECIAL_HANDLING-1-19-B1-1,MEAT_SPECIAL_HANDLING-3-6-B1-1,MEAT_SPECIAL_HANDLING-2-20-A1-1;292;7008;297;7128;0;0;-5;-120
BASE TOMATEE PRECUITE 29CMX4;120312;1;DEEP_FROZEN-42-12-A1-8,DEEP_FROZEN-41-3-A3-2;68;68;188;188;0;0;-120;-120
CHEVRE SPE CUISS 24X20G MC;829766;1;IN-8,MEAT_SPECIAL_HANDLING-26-18-A4-3;10;240;15;360;0;0;-5;-120
BREIZH COLA ZERO 33CL VP;830841;1;MEAT_SPECIAL_HANDLING-5-25-A1-5,MEAT_SPECIAL_HANDLING-2-28-B1-1,MEAT_SPECIAL_HANDLING-5-25-A4-5;108;108;114;216;0;0;-6;-108
POITRINE FUMEE TRANCHE 800G MC;148647;1;MEAT_SPECIAL_HANDLING-24-1-B1-2,MEAT_SPECIAL_HANDLING-22-7-A1-3,MEAT_SPECIAL_HANDLING-22-13-B1-1,MEAT_SPECIAL_HANDLING-24-4-B1-4,MEAT_SPECIAL_HANDLING-22-5-A1-4,MEAT_SPECIAL_HANDLING-24-5-B1-4,MEAT_SPECIAL_HANDLING-24-2-B1-2,MEAT_SPECIAL_HANDLING-21-15-A1-2;1674;1674;1754;1754;0;0;-80;-80
VOLVIC JUICY FRAISE 50CL;397663;1;MEAT_SPECIAL_HANDLING-3-14-C1-1,MEAT_SPECIAL_HANDLING-4-19-A1-2;243;2916;249;2988;0;0;-6;-72
FRAIS MINIMUM DE COMMANDE;835296;1;null;-56;-56;0;0;0;0;-56;-56
BAT COOKIE AND CREAM 80ML;897278;1;DEEP_FROZEN-42-6-A3-9,UNLOADING-1,DEEP_FROZEN-43-10-A3-2;24;576;26;624;0;0;-2;-48
1/4 ARRIERE PLT BL HAL 10KG FR;177470;1;IN-1;-35;-35;6;6;0;0;-41;-41
