Article Name,Article number (MGB),Var,Locations,MMS Stock,MMS Stock (1 piece),WMS Stock,WMS Stock (1 piece),Pick qty,Pick qty (1 piece),Difference,Difference (1 piece)
*FARINE BLE T 55 1KG ARO,835170,1,"MEAT_SPECIAL_HANDLING-9-12-B1-3,MEAT_SPECIAL_HANDLING-9-8-C1-1,MEAT_SPECIAL_HANDLING-9-12-B1-2,MEAT_SPECIAL_HANDLING-9-8-B1-3,MEAT_SPECIAL_HANDLING-6-33-A1-2",352,3520,435,4350,0,0,-83,-830
EMMENTAL RAPE 1KG VALMARTIN,847756,1,"MEAT_SPECIAL_HANDLING-22-5-A1-2,MEAT_SPECIAL_HANDLING-22-22-A1-1,MEAT_SPECIAL_HANDLING-22-5-B1-1",260,260,906,906,0,0,-646,-646
ROCHE DES ECRINS PET 50CL,397104,1,"MEAT_SPECIAL_HANDLING-3-27-B1-2,MEAT_SPECIAL_HANDLING-3-27-A1-3,MEAT_SPECIAL_HANDLING-3-31-A1-2,MEAT_SPECIAL_HANDLING-3-31-B1-1,MEAT_SPECIAL_HANDLING-3-10-C1-1,MEAT_SPECIAL_HANDLING-4-4-B1-1",325,7800,351,8424,0,0,-26,-624
VOLVIC 6X50CL 100% RPET,862826,1,"MEAT_SPECIAL_HANDLING-1-15-C1-1,MEAT_SPECIAL_HANDLING-4-19-C1-1,MEAT_SPECIAL_HANDLING-3-14-A1-1,MEAT_SPECIAL_HANDLING-3-11-A1-1,MEAT_SPECIAL_HANDLING-3-16-C1-2,MEAT_SPECIAL_HANDLING-3-12-C1-2,MEAT_SPECIAL_HANDLING-4-19-C1-2,MEAT_SPECIAL_HANDLING-4-20-B1-1,MEAT_SPECIAL_HANDLING-4-18-B1-1,MEAT_SPECIAL_HANDLING-3-16-C1-1,MEAT_SPECIAL_HANDLING-12-27-C1-1",624,2496,768,3072,0,0,-144,-576
LIMONADE STEFF 1.5L,396764,1,"MEAT_SPECIAL_HANDLING-4-2-C1-3,MEAT_SPECIAL_HANDLING-3-3-B1-1,MEAT_SPECIAL_HANDLING-3-25-C1-1,MEAT_SPECIAL_HANDLING-1-27-B1-2,MEAT_SPECIAL_HANDLING-3-10-A1-2",244,1464,328,1968,0,0,-84,-504
BOUCHEES CAMEMBERT 1KG LBWSTON,897181,1,"DEEP_FROZEN-40-13-B1-1,DEEP_FROZEN-43-3-B1-2,DEEP_FROZEN-43-3-A2-6,DEEP_FROZEN-43-11-A2-3",23,23,509,509,0,0,-486,-486
BEURRE DX PLQ 500G METRO CHEF,886562,1,"MEAT_SPECIAL_HANDLING-21-2-A1-1,MEAT_SPECIAL_HANDLING-23-20-A1-1,MEAT_SPECIAL_HANDLING-23-10-A1-1,MEAT_SPECIAL_HANDLING-20-5-B1-1",2872,2872,2600,3151,0,0,272,-279
ARO 400 SERV 29X29 1P BLANC,892283,1,"MEAT_SPECIAL_HANDLING-6-23-B1-2,MEAT_SPECIAL_HANDLING-6-25-A1-3,MEAT_SPECIAL_HANDLING-8-6-B1-2",686,686,854,854,0,0,-168,-168
POIVRONS LANIERE 3/1 DEL PIQ,240669,1,"MEAT_SPECIAL_HANDLING-7-18-A1-1,MEAT_SPECIAL_HANDLING-8-8-C1-2,MEAT_SPECIAL_HANDLING-8-30-C1-2",118,118,268,268,0,0,-150,-150
COEUR TT PAD 4KG+ UE,688773,1,MEAT_SPECIAL_HANDLING-21-15-A1-3,145.99,145.99,283.76,283.76,0,0,-137.76999999999998,-137.76999999999998
